LIXT,Medical-Biomed/Biotech
LJAN,Finance-ETF / ETN
LKCO,Internet-Content
LKFN,Banks-Midwest
LKNCY,Retail-Restaurants
LKOR,Finance-ETF / ETN
LKQ,Retail/Whlsle-Auto Parts
LL,Retail/Whlsle-Bldg Prds
LLAP,Aerospace/Defense
LLY,Medical-Diversified
LLYVA,Media-Diversified
LLYVB,Media-Diversified
LLYVK,Media-Diversified
LMAT,Medical-Products
LMB,Bldg-A/C & Heating Prds
LMBS,Finance-ETF / ETN
LMDXF,Medical-Systems/Equip
LMFA,Financial Svcs-Specialty
LMND,Insurance-Prop/Cas/Titl
LMNR,Agricultural Operations
LMPX,Group not available
LMT,Aerospace/Defense
LNC,Insurance-Life
LND,Agricultural Operations
LNG,Oil&Gas-Transprt/Pipelne
LNGG,Finance-ETF / ETN
LNGZ,Finance-ETF / ETN
LNKB,Banks-Northeast
LNN,Machinery-Farm
LNSR,Medical-Systems/Equip
LNSTY,Financial Svcs-Specialty
LNT,Utility-Diversified
LNTH,Medical-Products
LNVGY,Computer-Hardware/Perip
LNW,Leisure-Gaming/Equip
LNZA,Chemicals-Specialty
LOAN,Finance-Mortgage REIT
LOB,Banks-Southeast
LOBO,Auto Manufacturers
LOCL,Agricultural Operations
LOCO,Retail-Restaurants
LOCT,Finance-ETF / ETN
LODE,Mining-Gold/Silver/Gems
LOGI,Computer-Hardware/Perip
LOMA,Bldg-Cement/Concrt/Ag
LONZ,Finance-ETF / ETN
LOOP,Chemicals-Plastics
LOPE,Consumer Svcs-Education
LOPP,Finance-ETF / ETN
LOT,Auto Manufacturers
LOUP,Finance-ETF / ETN
LOVE,Retail-Home Furnishings
LOVLQ,Internet-Content
LOW,Retail/Whlsle-Bldg Prds
LOWV,Finance-ETF / ETN
LPA,Finance-Property REIT
LPCN,Medical-Biomed/Biotech
LPG,Oil&Gas-Transprt/Pipelne
LPL,Elec-Misc Products
LPLA,Finance-Invest Bnk/Bkrs
LPRO,Finance-Commercial Loans
LPSN,Computer Sftwr-Enterprse
LPTH,Telecom-Fiber Optics
LPTV,Internet-Content
LPTX,Medical-Biomed/Biotech
LPX,Bldg-Wood Prds
LQAI,Finance-ETF / ETN
LQD,Finance-ETF / ETN
LQDA,Medical-Biomed/Biotech
LQDB,Finance-ETF / ETN
LQDH,Finance-ETF / ETN
LQDI,Finance-ETF / ETN
LQDT,Retail-Internet
LQDW,Finance-ETF / ETN
LQIG,Finance-ETF / ETN
LQR,Retail-Internet
LRCX,Elec-Semiconductor Equip
LRE,Finance-Property REIT
LRFC,Finance-Investment Mgmt
LRGC,Finance-ETF / ETN
LRGE,Finance-ETF / ETN
LRGF,Finance-ETF / ETN
LRHC,Real Estate Dvlpmt/Ops
LRLCY,Cosmetics/Personal Care
LRMR,Medical-Generic Drugs
LRN,Consumer Svcs-Education
LRND,Finance-ETF / ETN
LRNZ,Finance-ETF / ETN
LSAF,Finance-ETF / ETN
LSAK,Finance-CrdtCard/PmtPr
LSAT,Finance-ETF / ETN
LSBK,Finance-Savings & Loan
LSCC,Elec-Semicondctor Fablss
LSDI,Medical-Ethical Drugs
LSEA,Bldg-Resident/Comml
LSEQ,Finance-ETF / ETN
LSF,Food-Packaged
LSGR,Finance-ETF / ETN
LSPD,Comp Sftwr-Spec Enterprs
LSRCY,Elec-Semiconductor Equip
LSST,Finance-ETF / ETN
LSTA,Medical-Biomed/Biotech
LSTR,Transportation-Truck
LSXMA,Media-Diversified
LSXMB,Media-Diversified
LSXMK,Media-Diversified
LTBR,Energy-Alternative/Other
LTC,Finance-Property REIT
LTCH,Security/Sfty
LTCN,Finance-Publ Inv Fd-Eqt
LTH,Leisure-Services
LTL,Finance-ETF / ETN
LTMAY,Transportation-Airline
LTPZ,Finance-ETF / ETN
LTRN,Medical-Biomed/Biotech
LTRPA,Internet-Content
LTRPB,Internet-Content
LTRX,Computer-Networking
LTRY,Computer Sftwr-Gaming
LU,Financial Svcs-Specialty
LUCD,Medical-Products
LUCY,Retail-Specialty
LUKOY,Oil&Gas-Integrated
LULU,Retail-Apparel/Shoes/Acc
LUMN,Telecom Svcs-Integrated
LUMO,Medical-Biomed/Biotech
LUNA,Elec-Scientific/Msrng
LUNG,Medical-Products
LUNR,Aerospace/Defense
LUV,Transportation-Airline
LUX,Finance-ETF / ETN
LUXH,Real Estate Dvlpmt/Ops
LUXX,Finance-ETF / ETN
LVHD,Finance-ETF / ETN
LVHI,Finance-ETF / ETN
LVLU,Retail-Internet
LVMUY,Apparel-Clothing Mfg
LVO,Internet-Content
LVOL,Finance-ETF / ETN
LVOX,Computer Sftwr-Enterprse
LVRO,Chemicals-Agricultural
LVS,Leisure-Gaming/Equip
LVTX,Medical-Biomed/Biotech
LVWR,Auto Manufacturers
LW,Food-Packaged
LWAY,Food-Dairy Products
LWLG,Elec-Contract Mfg
LX,Finance-Consumer Loans
LXEH,Consumer Svcs-Education
LXEO,Medical-Biomed/Biotech
LXFR,Chemicals-Specialty
LXP,Finance-Property REIT
LXRX,Medical-Biomed/Biotech
LXU,Chemicals-Agricultural
LYB,Chemicals-Basic
LYEL,Medical-Biomed/Biotech
LYFT,Leisure-Services
LYG,Banks-Money Center
LYRA,Medical-Biomed/Biotech
LYT,Internet-Content
LYTS,Bldg-Constr Prds/Misc
LYV,Leisure-Services
LZ,Internet-Content
LZAGY,Chemicals-Specialty
LZB,Retail-Home Furnishings
LZM,Mining-Metal Ores
M,Retail-Department Stores
MA,Finance-CrdtCard/PmtPr
MAA,Finance-Property REIT
MAC,Finance-Property REIT
MACA,Finance-Blank Check
MACK,Medical-Biomed/Biotech
MAG,Mining-Gold/Silver/Gems
MAGA,Finance-ETF / ETN
MAGG,Finance-ETF / ETN
MAGQ,Finance-ETF / ETN
MAGS,Finance-ETF / ETN
MAGX,Finance-ETF / ETN
MAIA,Medical-Biomed/Biotech
MAIN,Finance-Investment Mgmt
MAKX,Finance-ETF / ETN
MAMA,Food-Meat Products
MAMB,Finance-ETF / ETN
MAMO,Group not available
MAN,Comml Svcs-Staffing
MANH,Computer Sftwr-Enterprse
MANU,Leisure-Services
MAPP,Finance-ETF / ETN
MAPS,Computer Sftwr-Enterprse
MAQC,Finance-Blank Check
MAR,Leisure-Lodging
MARA,Finance-Investment Mgmt
MARB,Finance-ETF / ETN
MARK,Internet-Content
MARM,Finance-ETF / ETN
MARPS,Oil&Gas-Royalty Trust
MART,Finance-ETF / ETN
MARW,Finance-ETF / ETN
MARX,Finance-Blank Check
MARZ,Finance-ETF / ETN
MAS,Bldg-Constr Prds/Misc
MASI,Medical-Systems/Equip
MASS,Medical-Research Eqp/Svc
MAT,Leisure-Toys/Games/Hobby
MATH,Comml Svcs-Consulting
MATV,Paper & Paper Products
MATW,Funeral Svcs & Rel
MATX,Transportation-Ship
MAV,Finance-Publ Inv Fd-Bond
MAX,Comml Svcs-Advertising
MAXI,Finance-ETF / ETN
MAXN,Energy-Solar
MAYS,Real Estate Dvlpmt/Ops
MAYT,Finance-ETF / ETN
MAYW,Finance-ETF / ETN
MAYZ,Finance-ETF / ETN
MBAC,Finance-Blank Check
MBB,Finance-ETF / ETN
MBBB,Finance-ETF / ETN
MBC,Hsehold-Appliances/Wares
MBCC,Finance-ETF / ETN
MBCN,Banks-Midwest
MBGAF,Auto Manufacturers
MBI,Insurance-Prop/Cas/Titl
MBIN,Banks-Midwest
MBIO,Medical-Biomed/Biotech
MBLY,Elec-Semicondctor Fablss
MBND,Finance-ETF / ETN
MBNE,Finance-ETF / ETN
MBOT,Medical-Biomed/Biotech
MBOX,Finance-ETF / ETN
MBRX,Medical-Biomed/Biotech
MBS,Finance-ETF / ETN
MBSD,Finance-ETF / ETN
MBSF,Finance-ETF / ETN
MBTC,Finance-Blank Check
MBUU,Leisure-Products
MBWM,Banks-Midwest
MC,Finance-Invest Bnk/Bkrs
MCAA,Finance-Blank Check
MCAC,Finance-Blank Check
MCAG,Finance-Blank Check
MCB,Banks-Northeast
MCBC,Banks-Midwest
MCBS,Banks-Southeast
MCD,Retail-Restaurants
MCFT,Leisure-Products
MCH,Finance-ETF / ETN
MCHI,Finance-ETF / ETN
MCHP,Elec-Semiconductor Mfg
MCHS,Finance-ETF / ETN
MCHX,Comml Svcs-Advertising
MCI,Finance-Publ Inv Fd-Bond
MCK,Medical-Whlsle Drg/Suppl
MCKPF,Group not available
MCLDF,Computer-Tech Services
MCN,Finance-Publ Inv Fd-Eqt
MCO,Comml Svcs-Market Rsrch
MCOM,Leisure-Products
MCR,Finance-Publ Inv Fd-Bond
MCRB,Medical-Biomed/Biotech
MCRI,Leisure-Gaming/Equip
MCS,Leisure-Movies & Related
MCSE,Finance-ETF / ETN
MCVT,Finance-Investment Mgmt
MCW,Retail/Whlsle-Automobile
MCY,Insurance-Prop/Cas/Titl
MD,Medical-Outpnt/Hm Care
MDAI,Medical-Research Eqp/Svc
MDB,Computer Sftwr-Database
MDBH,Finance-Investment Mgmt
MDC,Bldg-Resident/Comml
MDCP,Finance-ETF / ETN
MDEV,Finance-ETF / ETN
MDGL,Medical-Biomed/Biotech
MDGS,Medical-Systems/Equip
MDIA,Media-Radio/Tv
MDIV,Finance-ETF / ETN
MDJH,Real Estate Dvlpmt/Ops
MDLV,Finance-ETF / ETN
MDLZ,Food-Confectionery
MDNAF,Medical-Biomed/Biotech
MDPL,Finance-ETF / ETN
MDRR,Finance-Property REIT
MDRX,Computer Sftwr-Medical
MDT,Medical-Products
MDU,Diversified Operations
MDV,Finance-Property REIT
MDVLQ,Medical-Services
MDWD,Medical-Biomed/Biotech
MDXG,Medical-Products
MDXH,Medical-Biomed/Biotech
MDY,Finance-ETF / ETN
MDYG,Finance-ETF / ETN
MDYV,Finance-ETF / ETN
ME,Medical-Services
MEAR,Finance-ETF / ETN
MEC,Auto/Truck-Original Eqp
MED,Cosmetics/Personal Care
MEDI,Finance-ETF / ETN
MEDP,Medical-Research Eqp/Svc
MEDS,Medical-Whlsle Drg/Suppl
MEDX,Finance-ETF / ETN
MEG,Pollution Control
MEGI,Finance-Publ Inv Fd-Eqt
MEGL,Finance-Investment Mgmt
MEI,Electronic-Parts
MEIP,Medical-Biomed/Biotech
MELI,Retail-Internet
MEM,Finance-ETF / ETN
MEME,Finance-ETF / ETN
MEMS,Finance-ETF / ETN
MEMX,Finance-ETF / ETN
MEOA,Finance-Blank Check
MEOH,Chemicals-Specialty
MERC,Paper & Paper Products
MESA,Transportation-Airline
MESO,Medical-Biomed/Biotech
MET,Insurance-Life
META,Internet-Content
METC,Energy-Coal
METCB,Energy-Coal
METV,Finance-ETF / ETN
MEXX,Finance-ETF / ETN
MFA,Finance-Mortgage REIT
MFC,Insurance-Diversified
MFD,Finance-Publ Inv Fd-Eqt
MFDX,Finance-ETF / ETN
MFEM,Finance-ETF / ETN
MFG,Banks-Money Center
MFH,Retail-Internet
MFIC,Finance-Investment Mgmt
MFIN,Finance-Commercial Loans
MFLTY,Retail-Internet
MFLX,Finance-ETF / ETN
MFM,Finance-Publ Inv Fd-Bond
MFUL,Finance-ETF / ETN
MFUS,Finance-ETF / ETN
MFV,Finance-Publ Inv Fd-Bond
MG,Bldg-Maintenance & Svc
MGA,Auto/Truck-Original Eqp
MGAM,Leisure-Products
MGC,Finance-ETF / ETN
MGDDY,Auto/Truck-Tires & Misc
MGEE,Utility-Diversified
MGF,Finance-Publ Inv Fd-Bond
MGIC,Computer-Tech Services
MGIH,Paper & Paper Products
MGK,Finance-ETF / ETN
MGLD,Diversified Operations
MGM,Leisure-Gaming/Equip
MGMT,Finance-ETF / ETN
MGNI,Computer Sftwr-Enterprse
MGNR,Finance-ETF / ETN
MGNX,Medical-Biomed/Biotech
MGOL,Apparel-Clothing Mfg
MGOV,Finance-ETF / ETN
MGPI,Beverages-Alcoholic
MGRC,Comml Svcs-Leasing
MGRM,Medical-Systems/Equip
MGRO,Group not available
MGRX,Medical-Generic Drugs
MGTX,Medical-Biomed/Biotech
MGV,Finance-ETF / ETN
MGX,Medical-Biomed/Biotech
MGY,Oil&Gas-U S Expl&Prod
MGYR,Finance-Savings & Loan
MHD,Finance-Publ Inv Fd-Bond
MHF,Finance-Publ Inv Fd-Bond
MHH,Comml Svcs-Staffing
MHI,Finance-Publ Inv Fd-Bond
MHK,Bldg-Constr Prds/Misc
MHLD,Insurance-Prop/Cas/Titl
MHN,Finance-Publ Inv Fd-Bond
MHO,Bldg-Resident/Comml
MHUA,Medical-Supplies
MI,Computer-Integrated Syst
MICS,Consumer Prod-Electronic
MID,Finance-ETF / ETN
MIDD,Hsehold-Appliances/Wares
MIDE,Finance-ETF / ETN
MIDU,Finance-ETF / ETN
MIELY,Diversified Operations
MIG,Finance-ETF / ETN
MIGI,Financial Svcs-Specialty
MILN,Finance-ETF / ETN
MIMOQ,Telecom-Infrastructure
MIN,Finance-Publ Inv Fd-Bond
MIND,Oil&Gas-Machinery/Equip
MINM,Computer-Networking
MINN,Finance-ETF / ETN
MINO,Finance-ETF / ETN
MINT,Finance-ETF / ETN
MINV,Finance-ETF / ETN
MIO,Finance-Publ Inv Fd-Glbl
MIR,Machinery-Gen Industrial
MIRA,Medical-Biomed/Biotech
MIRM,Medical-Biomed/Biotech
MISL,Finance-ETF / ETN
MIST,Medical-Ethical Drugs
MITA,Finance-Blank Check
MITK,Comp Sftwr-Spec Enterprs
MITQ,Leisure-Movies & Related
MITSY,Diversified Operations
MITT,Finance-Mortgage REIT
MIY,Finance-Publ Inv Fd-Bond
MJ,Finance-ETF / ETN
MJNA,Consumer Prod-Specialty
MJUS,Finance-ETF / ETN
MKAM,Finance-ETF / ETN
MKC,Food-Misc Preparation
MKCV,Food-Misc Preparation
MKFG,Computer-Hardware/Perip
MKL,Insurance-Prop/Cas/Titl
MKOR,Finance-ETF / ETN
MKSI,Elec-Semiconductor Equip
MKTAY,Bldg-Hand Tools
MKTW,Computer Sftwr-Financial
MKTX,Finance-Invest Bnk/Bkrs
ML,Computer Sftwr-Financial
MLAB,Medical-Systems/Equip
MLCO,Leisure-Gaming/Equip
MLEC,Medical-Biomed/Biotech
MLGO,Computer-Tech Services
MLI,Metal Proc & Fabrication
MLKN,Hsehold/Office Furniture
MLM,Bldg-Cement/Concrt/Ag
MLN,Finance-ETF / ETN
MLNK,Computer Sftwr-Financial
MLP,Real Estate Dvlpmt/Ops
MLPA,Finance-ETF / ETN
MLPB,Finance-ETF / ETN
MLPR,Finance-ETF / ETN
MLPX,Finance-ETF / ETN
MLR,Trucks & Parts-Hvy Duty
MLSS,Medical-Products
MLTX,Medical-Biomed/Biotech
MLVF,Finance-Savings & Loan
MLYS,Medical-Biomed/Biotech
MMA,Leisure-Services
MMAT,Metal Proc & Fabrication
MMC,Insurance-Brokers
MMCA,Finance-ETF / ETN
MMD,Finance-Publ Inv Fd-Bond
MMI,Real Estate Dvlpmt/Ops
MMIN,Finance-ETF / ETN
MMIT,Finance-ETF / ETN
MMLG,Finance-ETF / ETN
MMLP,Oil&Gas-Transprt/Pipelne
MMM,Diversified Operations
MMNFF,Consumer Prod-Specialty
MMS,Comml Svcs-Consulting
MMSB,Finance-ETF / ETN
MMSC,Finance-ETF / ETN
MMSI,Medical-Products
MMT,Finance-Publ Inv Fd-Bond
MMTM,Finance-ETF / ETN
MMU,Finance-Publ Inv Fd-Bond
MMV,Internet-Content
MMYT,Leisure-Travel Booking
MNA,Finance-ETF / ETN
MNBD,Finance-ETF / ETN
MNDO,Computer Sftwr-Enterprse
MNDY,Computer Sftwr-Enterprse
MNKD,Medical-Biomed/Biotech
MNMD,Medical-Biomed/Biotech
MNOV,Medical-Biomed/Biotech
MNPR,Medical-Biomed/Biotech
MNR,Oil&Gas-Integrated
MNRO,Retail/Whlsle-Auto Parts
MNSB,Banks-Southeast
MNSO,Retail-Discount&Variety
MNST,Beverages-Non-Alcoholic
MNTK,Energy-Alternative/Other
MNTL,Finance-ETF / ETN
MNTN,Finance-Blank Check
MNTS,Aerospace/Defense
MNTX,Machinery-Gen Industrial
MNY,Finance-Consumer Loans
MO,Tobacco
MOAT,Finance-ETF / ETN
MOB,Computer Sftwr-Security
MOBQ,Comml Svcs-Advertising
MOBX,Elec-Semicondctor Fablss
MOD,Bldg-A/C & Heating Prds
MODD,Medical-Products
MODG,Leisure-Products
MODL,Finance-ETF / ETN
MODN,Computer Sftwr-Enterprse
MODV,Comml Svcs-Healthcare
MOFG,Banks-Midwest
MOGA,Aerospace/Defense
MOGB,Aerospace/Defense
MOGO,Finance-Consumer Loans
MOGU,Retail-Internet
MOH,Medical-Managed Care
MOHR,Finance-ETF / ETN
MOLN,Medical-Biomed/Biotech
MOMO,Internet-Content
MOND,Leisure-Travel Booking
MOO,Finance-ETF / ETN
MOOD,Finance-ETF / ETN
MOON,Finance-ETF / ETN
MOR,Medical-Biomed/Biotech
MORF,Medical-Biomed/Biotech
MORN,Comml Svcs-Market Rsrch
MORT,Finance-ETF / ETN
MOS,Chemicals-Agricultural
MOTE,Finance-ETF / ETN
MOTG,Finance-ETF / ETN
MOTI,Finance-ETF / ETN
MOTO,Finance-ETF / ETN
MOTS,Medical-Supplies
MOV,Retail/Whlsle-Jewelry
MOVE,Medical-Products
MP,Mining-Metal Ores
MPA,Finance-Publ Inv Fd-Bond
MPAA,Auto/Truck-Replace Parts
MPAY,Finance-ETF / ETN
MPB,Banks-Northeast
MPC,Oil&Gas-Refining/Mktg
MPLN,Computer Sftwr-Medical
MPLX,Oil&Gas-Transprt/Pipelne
MPRO,Finance-ETF / ETN
MPTI,Aerospace/Defense
MPU,Comml Svcs-Leasing
MPV,Finance-Publ Inv Fd-Bond
MPW,Finance-Property REIT
MPWR,Elec-Semicondctor Fablss
MPX,Leisure-Products
MQ,Finance-CrdtCard/PmtPr
MQBKY,Finance-Investment Mgmt
MQT,Finance-Publ Inv Fd-Bond
MQY,Finance-Publ Inv Fd-Bond
MRAAY,Electronic-Parts
MRAD,Finance-ETF / ETN
MRAI,Medical-Managed Care
MRAM,Elec-Semiconductor Mfg
MRBK,Banks-Northeast
MRC,Oil&Gas-Machinery/Equip
MRCC,Finance-Investment Mgmt
MRCP,Finance-ETF / ETN
MRCY,Aerospace/Defense
MRDB,Computer Sftwr-Database
MREO,Medical-Biomed/Biotech
MRGR,Finance-ETF / ETN
MRIN,Computer Sftwr-Enterprse
MRK,Medical-Ethical Drugs
MRKR,Medical-Biomed/Biotech
MRM,Leisure-Services
MRMD,Consumer Prod-Specialty
MRNA,Medical-Biomed/Biotech
MRND,Finance-ETF / ETN
MRNO,Finance-Property REIT
MRNS,Medical-Biomed/Biotech
MRNY,Finance-ETF / ETN
MRO,Oil&Gas-Integrated
MRSK,Finance-ETF / ETN
MRSN,Medical-Biomed/Biotech
MRT,Leisure-Services
MRTN,Transportation-Truck
MRUS,Medical-Biomed/Biotech
MRVI,Medical-Biomed/Biotech
MRVL,Elec-Semicondctor Fablss
MS,Banks-Money Center
MSA,Security/Sfty
MSADY,Insurance-Diversified
MSAI,Elec-Contract Mfg
MSB,Mining-Metal Ores
MSBI,Banks-Midwest
MSC,Leisure-Gaming/Equip
MSCI,Financial Svcs-Specialty
MSD,Finance-Publ Inv Fd-Glbl
MSDL,Finance-Commercial Loans
MSEX,Utility-Water Supply
MSFD,Finance-ETF / ETN
MSFL,Finance-ETF / ETN
MSFO,Finance-ETF / ETN
MSFT,Computer Sftwr-Desktop
MSFU,Finance-ETF / ETN
MSFX,Finance-ETF / ETN
MSFY,Finance-ETF / ETN
MSGE,Leisure-Services
MSGM,Computer Sftwr-Gaming
MSGS,Leisure-Services
MSI,Telecom-Consumer Prods
MSM,Machinery-Tools & Rel
MSMR,Finance-ETF / ETN
MSN,Consumer Prod-Electronic
MSOS,Finance-ETF / ETN
MSOX,Finance-ETF / ETN
MSS,Retail-Specialty
MSSA,Finance-Blank Check
MSSS,Finance-ETF / ETN
MSTB,Finance-ETF / ETN
MSTI,Finance-ETF / ETN
MSTQ,Finance-ETF / ETN
MSTR,Computer Sftwr-Database
MSTY,Finance-ETF / ETN
MSVB,Banks-Midwest
MSVX,Finance-ETF / ETN
MT,Steel-Producers
MTA,Mining-Gold/Silver/Gems
MTAL,Finance-Blank Check
MTB,Banks-Northeast
MTBA,Finance-ETF / ETN
MTBL,Computer-Tech Services
MTC,Finance-Investment Mgmt
MTCH,Internet-Content
MTD,Machinery-Gen Industrial
MTDR,Oil&Gas-U S Expl&Prod
MTEK,Computer Sftwr-Enterprse
MTEM,Medical-Biomed/Biotech
MTEX,Cosmetics/Personal Care
MTG,Insurance-Prop/Cas/Titl
MTGP,Finance-ETF / ETN
MTH,Bldg-Resident/Comml
MTLS,Machinery-Mtl Hdlg/Autmn
MTN,Leisure-Services
MTNB,Medical-Biomed/Biotech
MTR,Oil&Gas-Royalty Trust
MTRN,Metal Proc & Fabrication
MTRX,Oil&Gas-Field Services
MTSI,Elec-Semiconductor Mfg
MTTR,Computer Sftwr-Design
MTUL,Finance-ETF / ETN
MTUM,Finance-ETF / ETN
MTUS,Steel-Specialty Alloys
MTVR,Finance-ETF / ETN
MTW,Machinery-Constr/Mining
MTX,Chemicals-Specialty
MTZ,Bldg-Heavy Construction
MU,Computer-Data Storage
MUA,Finance-Publ Inv Fd-Bond
MUB,Finance-ETF / ETN
MUC,Finance-Publ Inv Fd-Bond
MUE,Finance-Publ Inv Fd-Bond
MUFG,Banks-Money Center
MUI,Finance-Publ Inv Fd-Bond
MUJ,Finance-Publ Inv Fd-Bond
MULN,Auto Manufacturers
MUNI,Finance-ETF / ETN
MUR,Oil&Gas-Intl Expl&Prod
MURA,Medical-Biomed/Biotech
MURGY,Insurance-Diversified
MUSA,Retail-Super/Mini Mkts
MUSI,Finance-ETF / ETN
MUSQ,Finance-ETF / ETN
MUST,Finance-ETF / ETN
MUX,Mining-Gold/Silver/Gems
MVAL,Group not available
MVBF,Banks-Southeast
MVF,Finance-Publ Inv Fd-Bond
MVFD,Finance-ETF / ETN
MVFG,Finance-ETF / ETN
MVIS,Elec-Misc Products
MVLA,Computer-Hardware/Perip
MVO,Oil&Gas-Royalty Trust
MVPA,Finance-ETF / ETN
MVPL,Finance-ETF / ETN
MVPS,Finance-ETF / ETN
MVRL,Finance-ETF / ETN
MVST,Electrical-Power/Equipmt
MVT,Finance-Publ Inv Fd-Bond
MVV,Finance-ETF / ETN
MWA,Bldg-Constr Prds/Misc
MWG,Machinery-Mtl Hdlg/Autmn
MX,Elec-Semiconductor Mfg
MXC,Oil&Gas-U S Expl&Prod
MXCT,Medical-Research Eqp/Svc
MXE,Finance-Publ Inv Fd-Glbl
MXF,Finance-Publ Inv Fd-Glbl
MXI,Finance-ETF / ETN
MXL,Elec-Semicondctor Fablss
MYD,Finance-Publ Inv Fd-Bond
MYE,Containers/Packaging
MYFW,Banks-West/Southwest
MYGN,Medical-Research Eqp/Svc
MYI,Finance-Publ Inv Fd-Bond
MYLD,Finance-ETF / ETN
MYMD,Medical-Biomed/Biotech
MYN,Finance-Publ Inv Fd-Bond
MYNA,Telecom-Infrastructure
MYND,Computer Sftwr-Edu/Media
MYNZ,Medical-Biomed/Biotech
MYO,Medical-Systems/Equip
MYPS,Computer Sftwr-Gaming
MYRG,Bldg-Maintenance & Svc
MYSZ,Retail-Internet
MYTAY,Telecom Svcs- Foreign
MYTE,Retail-Internet
MYY,Finance-ETF / ETN
MZZ,Finance-ETF / ETN
NA,Elec-Semicondctor Fablss
NAAS,Energy-Alternative/Other
NABL,Computer-Tech Services
NABZY,Banks-Foreign
NAC,Finance-Publ Inv Fd-Bond
NACP,Finance-ETF / ETN
NAD,Finance-Publ Inv Fd-Bond
NAII,Cosmetics/Personal Care
NAIL,Finance-ETF / ETN
NAK,Mining-Metal Ores
NAMS,Medical-Biomed/Biotech
NAN,Finance-Publ Inv Fd-Bond
NANC,Finance-ETF / ETN
NANR,Finance-ETF / ETN
NAOV,Medical-Products
NAPA,Beverages-Alcoholic
NAPR,Finance-ETF / ETN
NARI,Medical-Products
NAT,Oil&Gas-Transprt/Pipelne
NATH,Retail-Restaurants
NATL,Computer-Integrated Syst
NATR,Cosmetics/Personal Care
NAUT,Medical-Biomed/Biotech
NAVB,Medical-Biomed/Biotech
NAVI,Financial Svcs-Specialty
NAZ,Finance-Publ Inv Fd-Bond
NB,Mining-Metal Ores
NBB,Finance-Publ Inv Fd-Bond
NBBK,Banks-Northeast
NBCC,Finance-ETF / ETN
NBCE,Finance-ETF / ETN
NBCM,Finance-ETF / ETN
NBCT,Finance-ETF / ETN
NBDS,Finance-ETF / ETN
NBGR,Finance-ETF / ETN
NBH,Finance-Publ Inv Fd-Bond
NBHC,Banks-West/Southwest
NBIX,Medical-Biomed/Biotech
NBN,Banks-Northeast
NBOS,Finance-ETF / ETN
NBR,Oil&Gas-Drilling
NBRVF,Medical-Biomed/Biotech
NBSE,Medical-Biomed/Biotech
NBSM,Finance-ETF / ETN
NBST,Finance-Blank Check
NBTB,Banks-Northeast
NBTX,Medical-Biomed/Biotech
NBXG,Finance-Publ Inv Fd-Eqt
NBY,Medical-Biomed/Biotech
NC,Energy-Coal
NCA,Finance-Publ Inv Fd-Bond
NCDL,Finance-Investment Mgmt
NCL,Bldg-Constr Prds/Misc
NCLH,Leisure-Services
NCLTY,Retail-Home Furnishings
NCMI,Comml Svcs-Advertising
NCNA,Medical-Biomed/Biotech
NCNC,Auto/Truck-Original Eqp
NCNO,Computer Sftwr-Financial
NCPB,Finance-ETF / ETN
NCPL,Finance-Investment Mgmt
NCRA,Machinery-Farm
NCSM,Oil&Gas-Field Services
NCTY,Computer Sftwr-Gaming
NCV,Finance-Publ Inv Fd-Bal
NCZ,Finance-Publ Inv Fd-Bond
NDAQ,Financial Svcs-Specialty
NDEKY,Elec-Misc Products
NDIA,Finance-ETF / ETN
NDIV,Finance-ETF / ETN
NDLS,Retail-Restaurants
NDMO,Finance-Publ Inv Fd-Bond
NDP,Finance-Publ Inv Fd-Eqt
NDRA,Medical-Systems/Equip
NDSN,Machinery-Gen Industrial
NDVG,Finance-ETF / ETN
NE,Oil&Gas-Drilling
NEA,Finance-Publ Inv Fd-Bond
NEAR,Finance-ETF / ETN
NECB,Finance-Savings & Loan
NEE,Utility-Electric Power
NEGG,Retail-Internet
NEM,Mining-Gold/Silver/Gems
NEN,Real Estate Dvlpmt/Ops
NEO,Medical-Services
NEOG,Medical-Products
NEON,Elec-Misc Products
NEOV,Energy-Solar
NEP,Energy-Alternative/Other
NEPH,Medical-Products
NEPTF,Consumer Prod-Specialty
NERD,Finance-ETF / ETN
NERV,Medical-Biomed/Biotech
NESR,Oil&Gas-Field Services
NET,Computer Sftwr-Enterprse
NETD,Finance-Blank Check
NETL,Finance-ETF / ETN
NETZ,Finance-ETF / ETN
NEU,Chemicals-Specialty
NEUE,Medical-Managed Care
NEWP,Mining-Gold/Silver/Gems
NEWT,Finance-Investment Mgmt
NEXA,Mining-Gold/Silver/Gems
NEXI,Medical-Biomed/Biotech
NEXN,Computer Sftwr-Enterprse
NEXOY,Computer Sftwr-Gaming
NEXT,Utility-Gas Distribution
NFBK,Finance-Savings & Loan
NFE,Oil&Gas-Integrated
NFG,Utility-Gas Distribution
NFGC,Mining-Gold/Silver/Gems
NFJ,Finance-Publ Inv Fd-Eqt
NFLP,Finance-ETF / ETN
NFLT,Finance-ETF / ETN
NFLX,Leisure-Movies & Related
NFLY,Finance-ETF / ETN
NFRA,Finance-ETF / ETN
NFTY,Finance-ETF / ETN
NFYS,Finance-Blank Check
NG,Mining-Gold/Silver/Gems
NGD,Mining-Gold/Silver/Gems
NGG,Utility-Diversified
NGL,Oil&Gas-Refining/Mktg
NGLOY,Mining-Metal Ores
NGM,Medical-Biomed/Biotech
NGMS,Computer Sftwr-Gaming
NGNE,Medical-Biomed/Biotech
